tweet_id,clean_tweet,user_id,lat,long,city,country,state,state_code,political_label,label_score,stance
1.3165687409394606e+18,via watch biden announces hes raised a whopping and recordbreaking 383 million in september civilrights lgbtq trump,15182798.0,40.7127281,-74.0060152,New York,United States of America,New York,NY,LGBTQ Rights,0.957200050354004,the author supports LGBTQ rights or policies protecting LGBTQ individuals
1.3165692020908073e+18,trump doesnt care about lgbtq he is racist against hispanics my race and chinese he acts like a dictator not a president he is rude joebiden is not prefect bit he is better the trump vote for joe biden to save the younger generations savemyfuture saveamerica genz,1.297161621861798e+18,34.5708167,-105.993007,,United States of America,New Mexico,NM,LGBTQ Rights,0.8008778691291809,the author opposes LGBTQ rights or expresses anti-LGBTQ views
1.3166093189266473e+18,its okay if you wanna kiss men dude it would be so brave if you came out as our first bisexual president such a bicon trumpgay trumprally trump trumpbisexual lgbt lgbtq nationalcomingoutday,9.309825910119834e+17,43.1753733,-89.7960089,,United States of America,Wisconsin,WI,LGBTQ Rights,0.7704368233680725,the author supports LGBTQ rights or policies protecting LGBTQ individuals
1.3166331132927304e+18,antiequality extremists kelli ward and chadwick moore to speak at trump pride event lgbt lgbtq homophobia bullshit politicalsham game fraud vote voteblue2020 votebluetosaveamerica votebluedownballot voteblueasifyourlifedependedonit,2453455927.0,34.395342,-111.7632755,,United States of America,Arizona,AZ,LGBTQ Rights,0.6394458413124084,the author opposes LGBTQ rights or expresses anti-LGBTQ views
1.316754717171757e+18,bravery shakinanayfack transgender actress in nbcs sitcom connected tweeted at her employer shame on u sign my checks but im disgusted my home network gives trump a platform 4 fear mongeringbigotry dont praise yourselves then promote this man to abolish my rights,19132899.0,40.0757384,-74.4041622,,United States of America,New Jersey,NJ,LGBTQ Rights,0.4378866553306579,the author opposes LGBTQ rights or expresses anti-LGBTQ views
1.316754975788163e+18,via amy coney barrett puts reversal of marriage equality clearly within sight says national organization for marriage civilrights lgbtq trump,15182798.0,40.7127281,-74.0060152,New York,United States of America,New York,NY,LGBTQ Rights,0.9626327753067015,the author supports LGBTQ rights or policies protecting LGBTQ individuals
1.316774814279852e+18,you should be reporting on why the vast majority of lgbtq do not support trump never mind the few squirrels that are only concerned with nuts sorry just trying to make a point,313946529.0,36.7014631,-118.7559974,,United States of America,California,CA,LGBTQ Rights,0.7436339259147644,the author does not express a clear stance on LGBTQ rights
1.316793460574376e+18,joebiden condemns donald trump for turningablindeye to epidemic of violence against transgender womenofcolour,9.70140879393579e+17,36.5277607,-87.35887029999999,Clarksville,United States of America,Tennessee,TN,LGBTQ Rights,0.7211886644363403,the author supports LGBTQ rights or policies protecting LGBTQ individuals
1.3167934633551995e+18,two trans women shot dead while walking down the street as antitrans violence spirals in trumps america,9.70140879393579e+17,36.5277607,-87.35887029999999,Clarksville,United States of America,Tennessee,TN,LGBTQ Rights,0.5926805734634399,the author does not express a clear stance on LGBTQ rights
1.3167934703680553e+18,trans nbc star slams network for giving trump a platform in townhall dont praise yourselves for putting a trans woman on primetime then give a platform to someone who wants to abolish my rights said connectings shakinanayfack,9.70140879393579e+17,36.5277607,-87.35887029999999,Clarksville,United States of America,Tennessee,TN,LGBTQ Rights,0.4095542728900909,the author opposes LGBTQ rights or expresses anti-LGBTQ views
1.316810963153113e+18,via trump boasts amy coney barrett was toying with evil democrats civilrights lgbtq trump,15182798.0,40.7127281,-74.0060152,New York,United States of America,New York,NY,LGBTQ Rights,0.9354248642921448,the author opposes LGBTQ rights or expresses anti-LGBTQ views
1.3168472286156145e+18,i got a question to the lgbt community do you guys get offended if somebody said asked or mention your sexual preference mgtow redpill men women lgbtq trump donaldtrump joebiden family parent school sjw blm socialism,69745606.0,25.7741728,-80.19362,Miami,United States of America,Florida,FL,LGBTQ Rights,0.9108451008796692,the author does not express a clear stance on LGBTQ rights
1.3168507041752924e+18,how i see your republicans supporters in 2020 donaldtrump a bunch of gay lgbtq homophobic bashers chickfila whitesupremacists vote for democrats on3hundr3dgold i call it dont worry its safe dontworryitssafe,188962253.0,42.0415823,-87.8873916,,United States of America,Illinois,IL,LGBTQ Rights,0.5041807293891907,the author opposes LGBTQ rights or expresses anti-LGBTQ views
1.3168967056070656e+18,dressed in lgbtq pussyhat pink is triggering trump into full rumpelstiltskin mode,533297878.0,38.8949924,-77.0365581,Washington,United States of America,District of Columbia,DC,LGBTQ Rights,0.6655309200286865,the author opposes LGBTQ rights or expresses anti-LGBTQ views
