tweet_id,clean_tweet,user_id,lat,long,city,country,state,state_code,political_label,label_score,stance
1.3165494021112177e+18,lies the devil as we said before is manipulating do your own research if you dont believe me mexico is not paying for the wall trump thinks he can con voters again you cant teach old dogs new tricks ugh trumpisthedevil,1.2860787811957883e+18,42.3788774,-72.03236600000001,,United States of America,Massachusetts,MA,Immigration,0.5734519958496094,the author does not express a clear stance on immigration
1.3165626071853097e+18,trump is such a piece of shit never mentioned his other disposable son baron has covid he doesnt give a shit about his own kids do you think he gives a shit about yours americaschildren immigrantchildren robreiner,135558738.0,25.7929198,-80.1353006,Miami Beach,United States of America,Florida,FL,Immigration,0.7703695893287659,the author does not express a clear stance on immigration
1.31658451880815e+18,godfather3 trump is elected which means that due to his intention to clean up dc comes as a death knell to the plot for the ratification of the immobiliare iran deal prompting frantic attempts by the plotters to cover their own tracks seewhathappens,402151228.0,33.4709714,-81.9748429,Augusta,United States of America,Georgia,GA,Immigration,0.422936737537384,the author does not express a clear stance on immigration
1.3165959239261102e+18,what happened to that invasion mexicoinvasion caravan trump covidiots,1.0600665321040404e+18,40.0796606,-89.4337288,,United States of America,Illinois,IL,Immigration,0.429618090391159,the author does not express a clear stance on immigration
1.3165969690543186e+18,i guess i gotta read through some of this at some point ny times investigative reporting is unlike anything ive ever seen illinois takeout unitedstates president trump immigration the swamp that trump built,2456862312.0,40.8762106,-74.02986209999999,,United States of America,New Jersey,NJ,Immigration,0.919981062412262,the author does not express a clear stance on immigration
1.316637846757761e+18,joebiden may have a covid plan on day one but his day one is 9 months too late donaldtrump started work on day one to keep new people from getting into this country by sealing the borders and you call him xenophobic remember march and what happened,213926411.0,36.0080325,-115.006381,Henderson,United States of America,Nevada,NV,Immigration,0.7490707635879517,the author does not express a clear stance on immigration
1.3166661786730988e+18,would result in american farm workers being paid less because federal law prohibits employers from paying any workers more than what is specified in the visa agreement is the cruelty the point or is it greed donaldtrump,7.969669309973586e+17,36.7014631,-118.7559974,,United States of America,California,CA,Immigration,0.496985524892807,the author does not express a clear stance on immigration
1.316729191975596e+18,remember trump hates immigrants dont fall for his bs votebluetoendthisnightmare bidenharris2020tosaveamerica,21693961.0,40.8517224,-73.0992188,,United States of America,New York,NY,Immigration,0.8738293051719666,"the author opposes immigration policies, advocating for stricter border control or reduced immigration"
1.3167293872161874e+18,trump is a traitor he will not eve wtfu remember trump hates immigrants dont fall for his bs votebluetoendthisnightmare bidenharris2020tosaveamerica,21693961.0,40.8517224,-73.0992188,,United States of America,New York,NY,Immigration,0.8211046457290649,"the author opposes immigration policies, advocating for stricter border control or reduced immigration"
1.316729964767703e+18,remember trump hates immigrants dont fall for his bs votebluetoendthisnightmare bidenharris2020tosaveamerica,21693961.0,40.8517224,-73.0992188,,United States of America,New York,NY,Immigration,0.8738293051719666,"the author opposes immigration policies, advocating for stricter border control or reduced immigration"
1.3167304133358387e+18,remember trump hates immigrants dont fall for his bs votebluetoendthisnightmare bidenharris2020tosaveamerica,21693961.0,40.8517224,-73.0992188,,United States of America,New York,NY,Immigration,0.8738293051719666,"the author opposes immigration policies, advocating for stricter border control or reduced immigration"
1.316730746376249e+18,i keep hearing that latinos are voting for trump why today i am trying to reach out amp help them learn truth remember trump hates immigrants dont fall for his bs votebluetoendthisnightmare bidenharris2020tosaveamerica,21693961.0,40.8517224,-73.0992188,,United States of America,New York,NY,Immigration,0.7132747769355774,the author does not express a clear stance on immigration
1.3167309894781133e+18,america remember trump hates immigrants dont fall for his bs votebluetoendthisnightmare bidenharris2020tosaveamerica,21693961.0,40.8517224,-73.0992188,,United States of America,New York,NY,Immigration,0.8565500378608704,"the author opposes immigration policies, advocating for stricter border control or reduced immigration"
1.3167521208136745e+18,please share puertorico daca immigrants immigration ice deportation 2020election bidenharris trumppence biden trump zerotolerance arizona georgia florida,520957237.0,41.5178281,-88.08140920000001,Joliet,United States of America,Illinois,IL,Immigration,0.9572253823280334,"the author opposes immigration policies, advocating for stricter border control or reduced immigration"
1.3167524703123538e+18,his private border wall enraged neighbors then he landed 2b to build walls for trump wmky political trump whitehouse,9.751178113653596e+17,38.8949924,-77.0365581,Washington,United States of America,District of Columbia,DC,Immigration,0.5176568627357483,"the author opposes immigration policies, advocating for stricter border control or reduced immigration"
1.3167657151569306e+18,its only makeup but always wondered why brownface is acceptable is trump trying to look more like asians and latinos or is potus mocking our looks based on his immigration policies its a reasonable fair question to ask vote election2020 truthmatters,115513081.0,38.5536601,-89.5384209,,United States of America,Illinois,IL,Immigration,0.5915296673774719,the author does not express a clear stance on immigration
